scenario,cost
4_of_best5_1,175675570.1288146
4_of_best5_2,176935434.09923294
4_of_best5_3,179657331.97538948
4_of_best5_4,185502920.80970567
4_of_best5_5,199917222.43783408
NY+LasVegas,252437485.63670796
NY+best,229807784.63535807
best4_plus1,170532495.2175871
best_2,196411299.74860823
best_3,181994572.17439792
best_4,175553540.5164091
best_5,169061531.36913934
best_6,165728606.0341659
best_7,162646849.35112703
best_8,160442754.57368296
q6_scenario,255212817.71350142
q7_scenario,265026180.72097465
q8_scenario,92872631.46908507
status_quo,254060828.61570415
